rank_type,player,ridge_rapm,lasso_rapm,elastic_rapm,games_played,avg_minutes,ridge_percentile
Top 25,Dominick Welch,0.0038298049689003476,0.0012165220832890853,0,130,30.49230769230769,100
Top 25,Isaac Mushila,0.0029101114263911433,0,0,95,21.842105263157894,99.95735607675907
Top 25,David Kachelries,0.002831329579718778,0.002046473445893321,0.001288507273281523,97,20.989690721649485,99.91471215351812
Top 25,Ra Kpedi,0.002275674276943423,0.0011956588058559725,8.281714210088766e-4,127,18.5748031496063,99.8720682302772
Top 25,Josh Aldrich,0.002100082187165493,0,0,145,17.66896551724138,99.82942430703625
Top 25,Michael Almonacy,0.0018686077380124996,0,0,83,26.518072289156628,99.7867803837953
Top 25,Isiaih Mosley,0.0018547954884695498,0.001620269758612142,7.588212533042641e-4,104,27.51923076923077,99.74413646055437
Top 25,Jalen Gibbs,0.0018537752075023903,0,0,129,27.209302325581394,99.70149253731343
Top 25,Kaleb Thornton,0.0018322727837535716,0.002491213067939107,0.0021177473313204105,111,24.054054054054053,99.6588486140725
Top 25,Antavion Collum,0.0017820528954812294,0.004941133165619596,0.0045072762059088665,118,18.991525423728813,99.61620469083155
Top 25,Holland Woods,0.0017535147751596711,0.0029727519943709394,0.00257063938962878,151,32.29139072847682,99.57356076759062
Top 25,Alex Karaban,0.001705584344367607,0.004628776911107139,0.004613353560486672,78,30.153846153846153,99.53091684434968
Top 25,Denver Jones,0.0016816785086269334,0.002131786957634415,0.0018587425311039224,94,26.95744680851064,99.48827292110875
Top 25,Corey Davis Jr.,0.001627495603254799,0,0,72,31.625,99.44562899786781
Top 25,Kyle Guy,0.001626819962433242,0.00536635681429965,0.004558856917557893,72,33.986111111111114,99.40298507462687
Top 25,Ty Jerome,0.0016080795966347545,0,5.090154330587633e-4,71,32.42253521126761,99.36034115138592
Top 25,Dexter Akanno,0.0015515736048119964,0,0,103,22.59223300970874,99.31769722814498
Top 25,Atin Wright,0.0015430990971287183,0.002497418360140098,0.0021876929490514054,116,28.974137931034484,99.27505330490405
Top 25,Tre Jones,0.001507075028625514,2.3847701057854042e-4,9.041699950288459e-5,65,34.753846153846155,99.23240938166312
Top 25,Carsen Edwards,0.001494294918271158,0.0033132181112515468,0.0029129070389045603,73,32.42465753424658,99.18976545842217
Top 25,Lassina Traore,0.0014887151458490898,0,0,87,24.517241379310345,99.14712153518124
Top 25,Dwayne Cohill,0.0014691464984969683,0.0027583345358429775,0.002411132129114289,131,23.49618320610687,99.1044776119403
Top 25,Corey Kispert,0.001467628895547206,0.003546715091670241,0.0032102746029984476,137,27.401459854014597,99.06183368869937
Top 25,LJ Figueroa,0.001465648556921795,0.00259787804228536,0.0022403554095389356,91,30.46153846153846,99.01918976545842
Top 25,Joel Ayayi,0.0014492513221137434,0,0,87,24.091954022988507,98.97654584221749
Bottom 25,Josiah Strong,-0.0026824188461219704,-0.0024648203789755354,-0.001683652450820185,123,24.03252032520325,0
Bottom 25,Trey Anderson,-0.002409721774411082,0,0,115,23.434782608695652,0.042643923240938165
Bottom 25,Jalen Jackson,-0.0023391631304250557,0,0,119,18.394957983193276,0.08528784648187633
Bottom 25,Gavin Kensmil,-0.0021793115495803575,0,0,105,23.742857142857144,0.1279317697228145
Bottom 25,Spencer Rodgers,-0.002074310384985667,-0.002224274029128246,-0.0020682172473351847,112,25.455357142857142,0.17057569296375266
Bottom 25,Brandon Betson,-0.002074264949551395,-0.0053189374965131745,-0.00520502386559388,76,28.723684210526315,0.21321961620469082
Bottom 25,Hunter Jack Madden,-0.0020186165842387745,0,0,81,25.530864197530864,0.255863539445629
Bottom 25,Rasheem Dunn,-0.0019488112010692062,-7.944967045242856e-4,-5.482344477803037e-4,93,29.967741935483872,0.2985074626865672
Bottom 25,Charlie Easley,-0.001886733539447627,-0.0029743644268799703,-0.0029629511196187395,138,23.579710144927535,0.3411513859275053
